Element,Symbol,AtNo,Radius,PaElec,VEC,EWF,Shear_M,e/a,Tm,Ecohesive
Lithium,Li,3,1.519,0.98,1,2.9,4.2,1.02,453.7,1.63  
Beryllium,Be,4,1.128,1.57,2,4.98,132,2,1551,3.32  
Boron,B,5,0.82,2.04,3,4.45,,2.98,2573,5.81  
Carbon,C,6,0.773,2.55,4,5,,3.92,3773,7.37  
Nitrogen,N,7,0.75,3.04,5,,,,63.14,4.92  
Oxygen,O,8,0.73,3.44,6,,,,50.35,2.60  
Sodium,Na,11,1.857,0.93,1,2.75,3.3,1.01,371,1.113 
Magnesium,Mg,12,1.601,1.31,2,3.66,17,2.01,922,1.51  
Aluminum,Al,13,1.432,1.61,3,4.28,26,3.01,933.25,3.39  
Silicon,Si,14,1.153,1.9,4,4.85,61.5,4,1683,4.63  
Phosphorus,P,15,1.06,2.19,5,,,4.97,317.3,3.43  
Sulfur,S,16,1.02,2.58,6,,,,388.36,2.85  
Potassium,K,19,2.31,0.82,1,2.3,1.3,1.01,336.35,0.934 
Calcium,Ca,20,1.976,1,2,2.87,7.4,1.56,1112,1.84  
Scandium,Sc,21,1.641,1.36,3,3.5,29,2.94,1812,3.90  
Titanium,Ti,22,1.462,1.54,4,4.33,44,1.14,1933,4.85  
Vanadium,V,23,1.316,1.63,5,4.3,47,0.9,2175,5.31  
Chromium,Cr,24,1.249,1.66,6,4.5,115,0.92,2130,4.10  
Manganese,Mn,25,1.35,1.55,7,4.1,78,1.05,1517,2.92  
Iron,Fe,26,1.241,1.83,8,4.5,82,1.05,1808,4.28  
Cobalt,Co,27,1.251,1.88,9,5,75,1.03,1768,4.39  
Nickel,Ni,28,1.246,1.91,10,5.15,76,1.16,1726,4.44  
Copper,Cu,29,1.278,1.9,11,4.65,48,1,1357.6,3.49  
Zinc,Zn,30,1.395,1.65,12,4.33,43,2.04,692.73,1.35  
Gallium,Ga,31,1.392,1.81,3,4.2,,3,302.9,2.81  
Germanium,Ge,32,1.24,2.01,4,5,,4.05,1210.4,3.85  
Selenium,Se,34,1.4,2.55,6,5.9,3.7,,494,2.46  
Rubidium,Rb,37,2.44,0.82,1,2.16,,1.01,312.64,0.852 
Strontium,Sr,38,2.152,0.95,2,2.59,6.1,1.96,1042,1.72  
Yttrium,Y,39,1.802,1.22,3,3.1,26,1.87,1799,4.37  
Zirconium,Zr,40,1.603,1.33,4,4.05,33,1.49,2125,6.25  
Niobium,Nb,41,1.429,1.6,5,4.3,38,1.32,2741,7.57  
Molybdenum,Mo,42,1.363,2.16,6,4.6,20,1.39,2890,6.82  
Technetium,Tc,43,1.36,1.9,7,,,0.95,2473,6.85  
Ruthenium,Ru,44,1.338,2.2,8,4.71,173,1.04,2523,6.74  
Rhodium,Rh,45,1.345,2.28,9,4.98,150,1,2239,5.75  
Palladium,Pd,46,1.375,2.2,10,5.12,44,0.96,1825,3.89  
Silver,Ag,47,1.445,1.93,11,4.26,30,1.01,1234,2.95  
Cadmium,Cd,48,1.568,1.69,12,4.22,19,2.03,594.18,1.16  
Indium,In,49,1.659,1.78,3,4.12,,3.03,429.76,2.52  
Tin,Sn,50,1.62,1.96,4,4.42,18,3.97,505.06,3.14  
Tellurium,Te,52,1.452,2.1,6,4.95,16,,722.65,2.19  
Cesium,Cs,55,2.65,0.79,1,2.14,,1.04,301.55,0.804 
Barium,Ba,56,2.176,0.89,2,2.7,4.9,2.03,1002,1.90  
Lanthanum,La,57,1.879,1.1,3,3.5,14,3,1193,4.47  
Cerium,Ce,58,1.825,1.12,3,2.9,14,,1071,4.32  
Praseodymium,Pr,59,1.65,1.13,3,2.96,15,,1204,3.70  
Neodymium,Nd,60,1.64,1.14,3,3.2,16,,1289,3.40  
Promethium,Pm,61,1.63,1.13,3,3.21,18,,1204,
Samarium,Sm,62,1.81,1.17,3,2.7,20,,1345,2.14  
Europium,Eu,63,1.984,1.2,3,2.5,7.9,,1095,1.86  
Gadolinium,Gd,64,1.801,1.2,3,3.1,22,,1585,4.14  
Terbium,Tb,65,1.781,1.1,3,3,22,,1630,4.05  
Dysprosium,Dy,66,1.774,1.22,3,3.25,25,,1685 ,3.04  
Holmium,Ho,67,1.766,1.23,3,3.22,26,,1743 ,3.14  
Erbium,Er,68,1.756,1.24,3,3.25,28,,1795 ,3.29  
Thulium,Tm,69,1.56,1.25,3,3.1,31,,1818 ,2.42  
Ytterbium,Yb,70,1.7,1.1,3,2.95,9.9,,1097 ,1.60  
Lutetium,Lu,71,1.735,1.27,3,3.3,27,,453.7,4.43  
Hafnium,Hf,72,1.578,1.3,4,3.9,30,1.76,2500,6.44  
Tantalum,Ta,73,1.43,1.5,5,4.25,69,1.57,3269 ,8.10  
Tungsten,W,74,1.367,2.36,6,4.55,161,1.43,3680 ,8.90  
Rhenium,Re,75,1.375,1.9,7,4.96,178,1.4,3453 ,8.03  
Osmium,Os,76,1.352,2.2,8,4.83,,1.55,3300 ,8.17  
Iridium,Ir,77,1.357,2.2,9,5.27,,1.6,2716 ,6.94  
Platinum,Pt,78,1.387,2.28,10,5.65,,1.63,2045 ,5.84  
Gold,Au,79,1.442,2.54,11,5.1,,1,1337.58,3.81  
Thallium,Tl,81,1.716,1.62,3,3.84,,3.03,577 ,1.88  
Lead,Pb,82,1.75,2.33,4,4.25,,4,600.6,2.03  
Polonium,Po,84,1.53,2,6,,,,527 ,1.50  
Thorium,Th,90,1.8,1.3,3,3.44,,,2028 ,6.20  
Protactinium,Pa,91,1.61,1.5,3,3.76,,,2113 ,
Uranium,U,92,1.42,1.38,3,3.85,,,1405 ,5.55  
